customer_id,prob,default
100123,0.75,1
100124,0.71,1
100125,0.38,1
100126,0.89,1
100127,0.21,0
100128,0.5,1
100129,0.65,1
100130,0.37,1
100131,0.86,1
100132,0.38,1
100133,0.61,1
100134,0.71,1
100135,0.77,1
100136,0.54,1
100137,0.41,1
100138,0.76,1
100139,0.85,1
100140,0.55,1
100141,0.84,1
100142,0.79,1
100143,0.82,1
100144,0.59,1
100145,0.97,1
100146,0.69,1
100147,0.86,1
100148,0.39,1
100149,0.88,1
100150,0.85,1
100151,0.33,1
100152,0.8,1
100153,0.37,1
100154,0.94,1
100155,0.96,1
100156,0.54,1
100157,0.77,1
100158,0.59,1
100159,0.36,1
100160,0.4,1
100161,0.56,1
100162,0.41,1
100163,0.52,1
100164,0.65,1
100165,0.95,1
100166,0.87,1
100167,0.92,1
100168,0.24,0
100169,0.34,1
100170,0.42,1
100171,0.74,1
100172,0.3,1
100173,0.67,1
100174,0.6,1
100175,0.72,1
100176,0.92,1
100177,0.54,1
100178,0.35,1
100179,0.23,0
100180,0.64,1
100181,0.75,1
100182,0.91,1
100183,0.66,1
100184,0.69,1
100185,0.69,1
100186,0.42,1
100187,0.82,1
100188,0.44,1
100189,0.53,1
100190,0.47,1
100191,0.53,1
100192,0.98,1
100193,0.95,1
100194,0.65,1
100195,0.33,1
100196,1.0,1
100197,0.97,1
100198,0.36,1
100199,0.46,1
100200,0.95,1
100201,0.46,1
100202,0.24,0
100203,0.91,1
100204,0.48,1
100205,0.36,1
100206,0.47,1
100207,0.64,1
100208,0.83,1
100209,0.82,1
100210,0.62,1
100211,0.36,1
100212,0.32,1
100213,0.75,1
100214,0.68,1
100215,0.35,1
100216,0.76,1
100217,0.93,1
100218,0.62,1
100219,0.11,0
100220,0.85,1
100221,0.23,0
100222,0.34,1
100223,0.85,1
100224,0.58,1
100225,0.76,1
100226,0.9,1
100227,0.24,0
100228,0.51,1
100229,0.54,1
100230,0.73,1
100231,0.68,1
100232,0.09,0
100233,0.47,1
100234,0.51,1
100235,0.68,1
100236,0.67,1
100237,0.74,1
100238,0.44,1
100239,0.36,1
100240,0.8,1
100241,0.18,0
100242,0.89,1
100243,0.35,1
100244,0.7,1
100245,0.98,1
100246,0.64,1
100247,0.8,1
100248,0.81,1
100249,0.69,1
100250,0.79,1
100251,0.77,1
100252,0.44,1
100253,0.44,1
100254,0.77,1
100255,0.25,0
100256,0.77,1
100257,0.75,1
100258,0.28,1
100259,0.73,1
100260,0.98,1
100261,0.78,1
100262,0.64,1
100263,0.6,1
100264,0.84,1
100265,0.94,1
100266,0.81,1
100267,0.55,1
100268,0.38,1
100269,0.83,1
100270,0.48,1
100271,0.82,1
100272,0.3,1
100273,0.84,1
100274,0.97,1
100275,0.74,1
100276,0.27,1
100277,0.77,1
100278,0.76,1
100279,0.08,0
100280,0.57,1
100281,0.36,1
100282,0.51,1
100283,0.47,1
100284,0.77,1
100285,0.75,1
100286,0.84,1
100287,0.84,1
100288,0.61,1
100289,0.84,1
100290,0.52,1
100291,0.89,1
100292,0.78,1
100293,0.88,1
100294,0.8,1
100295,0.9,1
100296,0.98,1
100297,0.39,1
100298,0.21,0
100299,0.33,1
100300,0.81,1
100301,0.86,1
100302,0.83,1
100303,0.83,1
100304,0.6,1
100305,0.91,1
100306,0.31,1
100307,0.44,1
100308,0.55,1
100309,0.67,1
100310,0.93,1
100311,0.59,1
100312,0.9,1
100313,0.36,1
100314,0.74,1
100315,0.67,1
100316,0.52,1
100317,0.87,1
100318,0.97,1
100319,0.36,1
100320,0.73,1
100321,0.69,1
100322,0.76,1
100323,0.89,1
100324,0.57,1
100325,0.84,1
100326,0.81,1
100327,0.47,1
100328,0.48,1
100329,0.28,1
100330,0.71,1
100331,0.84,1
100332,0.73,1
100333,0.94,1
100334,0.21,0
100335,0.6,1
100336,0.43,1
100337,0.8,1
100338,0.53,1
100339,0.94,1
100340,0.85,1
100341,0.38,1
100342,0.3,1
100343,0.77,1
100344,0.58,1
100345,0.89,1
100346,0.79,1
100347,0.68,1
100348,0.99,1
100349,0.57,1
100350,0.86,1
100351,0.13,0
100352,0.38,1
100353,0.56,1
100354,0.94,1
100355,0.98,1
100356,0.88,1
100357,0.74,1
100358,0.64,1
100359,0.18,0
100360,0.58,1
100361,0.31,1
100362,0.77,1
100363,0.49,1
100364,0.66,1
100365,0.62,1
100366,0.44,1
100367,0.91,1
100368,0.93,1
100369,0.9,1
100370,0.97,1
100371,0.49,1
100372,0.65,1
100373,0.33,1
100374,0.51,1
100375,0.81,1
100376,0.99,1
100377,0.32,1
100378,0.68,1
100379,0.53,1
100380,0.94,1
100381,0.74,1
100382,0.38,1
100383,0.42,1
100384,0.77,1
100385,0.72,1
100386,0.82,1
100387,0.87,1
100388,0.68,1
100389,0.79,1
100390,0.91,1
100391,0.27,1
100392,0.4,1
100393,0.67,1
100394,0.9,1
100395,0.86,1
100396,0.75,1
100397,0.61,1
100398,0.9,1
100399,0.57,1
100400,0.47,1
100401,0.65,1
100402,0.46,1
100403,0.77,1
100404,0.35,1
100405,0.91,1
100406,0.53,1
100407,0.63,1
100408,0.53,1
100409,0.41,1
100410,0.54,1
100411,0.72,1
100412,0.43,1
100413,0.84,1
100414,0.74,1
100415,0.83,1
100416,0.99,1
100417,0.68,1
100418,0.38,1
100419,0.95,1
100420,0.58,1
100421,0.4,1
100422,0.5,1
100423,0.76,1
100424,0.94,1
100425,0.23,0
100426,0.95,1
100427,0.61,1
100428,0.52,1
100429,0.41,1
100430,0.92,1
100431,0.44,1
100432,0.83,1
100433,0.33,1
100434,0.41,1
100435,0.67,1
100436,0.85,1
100437,0.85,1
100438,0.7,1
100439,0.41,1
100440,0.1,0
100441,0.77,1
100442,0.34,1
100443,0.49,1
100444,0.26,1
100445,0.77,1
100446,0.99,1
100447,0.39,1
100448,0.71,1
100449,0.96,1
100450,0.76,1
100451,0.9,1
100452,0.46,1
100453,0.71,1
100454,0.67,1
100455,0.61,1
100456,0.88,1
100457,0.41,1
100458,0.86,1
100459,0.53,1
100460,0.77,1
100461,0.78,1
100462,0.74,1
100463,0.6,1
100464,0.79,1
100465,0.96,1
100466,0.34,1
100467,0.39,1
100468,0.42,1
100469,0.33,1
100470,0.49,1
100471,0.86,1
100472,0.89,1
100473,0.63,1
100474,0.9,1
100475,0.64,1
100476,0.6,1
100477,0.38,1
100478,0.48,1
100479,0.78,1
100480,0.87,1
100481,0.77,1
100482,0.84,1
100483,0.29,1
100484,0.43,1
100485,0.63,1
100486,0.49,1
100487,0.75,1
100488,0.86,1
100489,1.0,1
100490,0.24,0
100491,0.9,1
100492,0.67,1
100493,0.86,1
100494,0.38,1
100495,0.55,1
100496,0.88,1
100497,0.84,1
100498,0.58,1
100499,0.5,1
100500,0.52,1
100501,0.84,1
100502,0.52,1
100503,0.43,1
100504,0.61,1
100505,0.73,1
100506,0.64,1
100507,0.29,1
100508,0.75,1
100509,0.7,1
100510,0.2,0
100511,0.36,1
100512,0.61,1
100513,0.8,1
100514,0.41,1
100515,0.94,1
100516,0.66,1
100517,0.91,1
100518,0.69,1
100519,0.17,0
100520,0.52,1
100521,0.57,1
100522,0.93,1
100523,0.25,0
100524,1.0,1
100525,0.62,1
100526,0.25,0
100527,0.58,1
100528,0.71,1
100529,0.54,1
100530,0.54,1
100531,0.59,1
100532,0.39,1
100533,0.42,1
100534,0.27,1
100535,0.71,1
100536,0.55,1
100537,0.67,1
100538,0.59,1
100539,0.52,1
100540,0.81,1
100541,0.89,1
100542,0.7,1
100543,0.92,1
100544,0.36,1
100545,0.64,1
100546,0.56,1
100547,0.38,1
100548,0.95,1
100549,0.73,1
100550,0.9,1
100551,0.77,1
100552,0.27,1
100553,0.75,1
100554,0.53,1
100555,0.54,1
100556,0.66,1
100557,0.76,1
100558,0.67,1
100559,0.76,1
100560,0.28,1
100561,0.59,1
100562,0.32,1
100563,0.91,1
100564,0.66,1
100565,0.98,1
100566,0.32,1
100567,1.0,1
100568,0.75,1
100569,0.99,1
100570,0.74,1
100571,0.71,1
100572,0.6,1
100573,0.82,1
100574,0.69,1
100575,0.93,1
100576,0.94,1
100577,0.43,1
100578,0.96,1
100579,0.76,1
100580,0.57,1
100581,0.49,1
100582,0.86,1
100583,0.98,1
100584,0.71,1
100585,0.52,1
100586,0.48,1
100587,0.31,1
100588,0.87,1
100589,0.38,1
100590,0.43,1
100591,0.21,0
100592,0.44,1
100593,0.83,1
100594,0.55,1
100595,0.62,1
100596,0.77,1
100597,0.86,1
100598,0.87,1
100599,0.53,1
100600,0.21,0
100601,0.78,1
100602,0.15,0
100603,1.0,1
100604,0.77,1
100605,0.79,1
100606,0.65,1
100607,0.62,1
100608,0.4,1
100609,0.48,1
100610,0.66,1
100611,0.41,1
100612,0.75,1
100613,0.94,1
100614,0.69,1
100615,0.21,0
100616,0.44,1
100617,0.57,1
100618,0.4,1
100619,0.93,1
100620,0.67,1
100621,0.94,1
100622,0.87,1
100623,0.73,1
100624,0.85,1
100625,0.65,1
100626,0.78,1
100627,0.47,1
100628,0.28,1
100629,0.47,1
100630,0.51,1
100631,0.85,1
100632,0.89,1
100633,0.37,1
100634,0.36,1
100635,0.45,1
100636,0.62,1
100637,0.87,1
100638,0.84,1
100639,0.9,1
100640,0.26,1
100641,0.32,1
100642,0.58,1
100643,0.51,1
100644,0.81,1
100645,0.93,1
100646,0.17,0
100647,0.72,1
100648,0.33,1
100649,0.57,1
100650,0.65,1
100651,0.51,1
100652,0.39,1
100653,0.54,1
100654,0.85,1
100655,0.5,1
100656,0.41,1
100657,0.77,1
100658,0.82,1
100659,0.79,1
100660,0.82,1
100661,0.86,1
100662,0.65,1
100663,0.37,1
100664,0.67,1
100665,0.47,1
100666,0.83,1
100667,0.12,0
100668,0.37,1
100669,0.35,1
100670,0.37,1
100671,0.53,1
100672,0.65,1
100673,0.21,0
100674,0.67,1
100675,0.27,1
100676,0.97,1
100677,0.91,1
100678,0.8,1
100679,0.84,1
100680,0.83,1
100681,0.91,1
100682,0.73,1
100683,0.84,1
100684,0.68,1
100685,0.87,1
100686,0.85,1
100687,0.76,1
100688,0.7,1
100689,0.92,1
100690,0.76,1
100691,0.57,1
100692,0.51,1
100693,0.19,0
100694,0.48,1
100695,0.62,1
100696,0.95,1
100697,0.5,1
100698,0.75,1
100699,0.86,1
100700,0.83,1
100701,0.75,1
100702,0.82,1
100703,0.3,1
100704,0.47,1
100705,0.49,1
100706,0.48,1
100707,0.53,1
100708,0.63,1
100709,0.44,1
100710,0.63,1
100711,0.51,1
100712,0.93,1
100713,0.29,1
100714,0.53,1
100715,0.54,1
100716,0.82,1
100717,0.58,1
100718,0.74,1
100719,0.78,1
100720,0.82,1
100721,0.57,1
100722,0.71,1
100723,1.0,1
100724,0.3,1
100725,0.48,1
100726,0.9,1
100727,0.68,1
100728,0.69,1
100729,0.78,1
100730,0.38,1
100731,0.37,1
100732,0.67,1
100733,0.79,1
100734,0.37,1
100735,0.65,1
100736,0.62,1
100737,0.84,1
100738,0.73,1
100739,0.79,1
100740,0.34,1
100741,0.52,1
100742,0.56,1
100743,0.93,1
100744,0.88,1
100745,0.3,1
100746,0.72,1
100747,0.12,0
100748,0.48,1
100749,0.38,1
100750,0.34,1
100751,0.92,1
100752,0.74,1
100753,0.89,1
100754,0.9,1
100755,0.68,1
100756,0.91,1
100757,0.64,1
100758,0.34,1
100759,0.79,1
100760,0.95,1
100761,0.86,1
100762,0.68,1
100763,0.73,1
100764,0.23,0
100765,0.98,1
100766,0.64,1
100767,0.5,1
100768,0.18,0
100769,0.36,1
100770,0.54,1
100771,0.51,1
100772,0.58,1
100773,0.71,1
100774,0.8,1
100775,0.83,1
100776,0.75,1
100777,0.56,1
100778,0.3,1
100779,0.76,1
100780,0.63,1
100781,0.93,1
100782,0.64,1
100783,0.84,1
100784,0.68,1
100785,0.5,1
100786,0.92,1
100787,0.64,1
100788,0.91,1
100789,0.84,1
100790,0.91,1
100791,0.51,1
100792,0.53,1
100793,0.43,1
100794,0.77,1
100795,0.27,1
100796,0.82,1
100797,0.84,1
100798,0.46,1
100799,0.94,1
100800,0.46,1
100801,0.57,1
100802,0.97,1
100803,0.53,1
100804,0.76,1
100805,0.74,1
100806,0.53,1
100807,0.51,1
100808,0.53,1
100809,0.79,1
100810,0.55,1
100811,0.89,1
100812,0.33,1
100813,0.42,1
100814,0.72,1
100815,0.34,1
100816,0.32,1
100817,0.5,1
100818,0.55,1
100819,0.41,1
100820,0.16,0
100821,0.7,1
100822,0.79,1
100823,0.96,1
100824,0.66,1
100825,0.75,1
100826,0.85,1
100827,0.83,1
100828,0.5,1
100829,0.69,1
100830,0.76,1
100831,0.65,1
100832,0.47,1
100833,0.53,1
100834,0.63,1
100835,0.54,1
100836,0.74,1
100837,0.47,1
100838,0.58,1
100839,0.55,1
100840,0.52,1
100841,0.71,1
100842,0.91,1
100843,0.74,1
100844,0.55,1
100845,0.69,1
100846,0.95,1
100847,0.22,0
100848,0.52,1
100849,0.53,1
100850,0.64,1
100851,0.54,1
100852,0.86,1
100853,0.9,1
100854,0.63,1
100855,0.71,1
100856,0.72,1
100857,0.33,1
100858,0.82,1
100859,0.74,1
100860,0.63,1
100861,0.47,1
100862,0.66,1
100863,0.53,1
100864,0.91,1
100865,0.27,1
100866,0.74,1
100867,0.81,1
100868,0.63,1
100869,0.89,1
100870,0.16,0
100871,0.32,1
100872,0.52,1
100873,0.48,1
100874,0.95,1
100875,0.78,1
100876,0.31,1
100877,0.54,1
100878,0.94,1
100879,0.98,1
100880,0.65,1
100881,0.87,1
100882,0.93,1
100883,0.41,1
100884,0.59,1
100885,0.23,0
100886,0.69,1
100887,0.79,1
100888,0.29,1
100889,0.52,1
100890,0.5,1
100891,0.86,1
100892,0.28,1
100893,0.9,1
100894,0.85,1
100895,0.95,1
100896,0.73,1
100897,0.88,1
100898,0.9,1
100899,0.38,1
100900,0.88,1
100901,0.48,1
100902,0.82,1
100903,0.48,1
100904,0.63,1
100905,0.86,1
100906,0.78,1
100907,0.86,1
100908,0.76,1
100909,0.88,1
100910,0.57,1
100911,0.37,1
100912,0.82,1
100913,0.46,1
100914,0.81,1
100915,0.8,1
100916,0.9,1
100917,0.34,1
100918,1.0,1
100919,0.88,1
100920,0.5,1
100921,0.97,1
100922,0.64,1
100923,0.88,1
100924,0.7,1
100925,0.53,1
100926,0.34,1
100927,0.99,1
100928,0.69,1
100929,0.27,1
100930,0.6,1
100931,0.71,1
100932,0.87,1
100933,0.59,1
100934,0.55,1
100935,0.83,1
100936,0.92,1
100937,0.64,1
100938,0.48,1
100939,0.16,0
100940,0.76,1
100941,0.99,1
100942,0.39,1
100943,0.71,1
100944,0.43,1
100945,0.74,1
100946,0.65,1
100947,0.71,1
100948,0.92,1
100949,0.62,1
100950,0.59,1
100951,0.66,1
100952,0.58,1
100953,0.7,1
100954,0.47,1
100955,0.71,1
100956,0.96,1
100957,0.32,1
100958,0.93,1
100959,0.76,1
100960,0.89,1
100961,0.62,1
100962,0.48,1
100963,0.4,1
100964,0.67,1
100965,0.54,1
100966,0.61,1
100967,0.86,1
100968,0.6,1
100969,0.51,1
100970,0.96,1
100971,0.7,1
100972,0.18,0
100973,0.94,1
100974,0.55,1
100975,0.44,1
100976,0.99,1
100977,0.38,1
100978,0.67,1
100979,0.3,1
100980,0.57,1
100981,0.91,1
100982,0.98,1
100983,0.9,1
100984,0.99,1
100985,0.82,1
100986,0.89,1
100987,0.62,1
100988,0.83,1
100989,0.76,1
100990,0.7,1
100991,0.45,1
100992,0.81,1
100993,0.56,1
100994,0.78,1
100995,0.83,1
100996,0.9,1
100997,0.83,1
100998,0.99,1
100999,0.62,1
101000,0.84,1
101001,0.66,1
101002,0.91,1
101003,0.26,1
101004,0.62,1
101005,0.67,1
101006,0.64,1
101007,0.9,1
101008,0.58,1
101009,0.65,1
101010,0.95,1
101011,0.38,1
101012,0.83,1
101013,0.55,1
101014,0.13,0
101015,0.66,1
101016,0.06,0
101017,0.8,1
101018,0.81,1
101019,0.57,1
101020,0.45,1
101021,0.36,1
101022,0.77,1
101023,0.92,1
101024,0.82,1
101025,0.31,1
101026,0.94,1
101027,0.45,1
101028,0.57,1
101029,0.96,1
101030,0.64,1
101031,0.56,1
101032,0.37,1
101033,0.18,0
101034,0.21,0
101035,0.28,1
101036,0.89,1
101037,0.33,1
101038,0.86,1
101039,0.85,1
101040,0.68,1
101041,0.2,0
101042,0.5,1
101043,0.64,1
101044,0.51,1
101045,0.44,1
101046,0.72,1
101047,0.56,1
101048,0.8,1
101049,0.59,1
101050,0.06,0
101051,0.59,1
101052,0.89,1
101053,0.59,1
101054,0.83,1
101055,0.92,1
101056,0.29,1
101057,0.4,1
101058,0.86,1
101059,0.32,1
101060,0.42,1
101061,0.26,1
101062,0.92,1
101063,0.94,1
101064,0.82,1
101065,0.98,1
101066,0.33,1
101067,0.94,1
101068,0.81,1
101069,0.39,1
101070,0.66,1
101071,0.95,1
101072,0.9,1
101073,0.98,1
101074,0.61,1
101075,0.67,1
101076,0.74,1
101077,0.79,1
101078,0.97,1
101079,0.44,1
101080,0.64,1
101081,0.57,1
101082,0.76,1
101083,0.89,1
101084,0.7,1
101085,0.5,1
101086,0.76,1
101087,0.86,1
101088,0.78,1
101089,0.65,1
101090,0.44,1
101091,0.36,1
101092,0.57,1
101093,0.62,1
101094,0.54,1
101095,0.34,1
101096,0.89,1
101097,0.59,1
101098,0.97,1
101099,1.0,1
101100,0.85,1
101101,0.42,1
101102,0.83,1
101103,0.84,1
101104,0.65,1
101105,0.69,1
101106,0.74,1
101107,0.93,1
101108,0.63,1
101109,0.37,1
101110,0.97,1
101111,0.72,1
101112,0.36,1
101113,0.75,1
101114,0.13,0
101115,0.68,1
101116,0.48,1
101117,0.27,1
101118,0.26,1
101119,0.65,1
101120,0.52,1
101121,0.85,1
101122,0.61,1
101123,0.96,1
101124,0.71,1
101125,0.68,1
101126,0.85,1
101127,0.72,1
101128,0.56,1
101129,0.54,1
101130,0.83,1
101131,0.96,1
101132,0.97,1
101133,0.97,1
101134,0.77,1
101135,0.46,1
101136,0.93,1
101137,0.75,1
101138,0.81,1
101139,0.97,1
101140,0.49,1
101141,0.37,1
101142,0.97,1
101143,0.7,1
101144,0.92,1
101145,0.47,1
101146,0.53,1
101147,0.91,1
101148,0.98,1
101149,0.83,1
101150,0.27,1
101151,0.57,1
101152,0.83,1
101153,0.98,1
101154,0.1,0
101155,0.85,1
101156,0.48,1
101157,0.91,1
101158,0.59,1
101159,0.94,1
101160,0.98,1
101161,0.82,1
101162,0.32,1
101163,0.95,1
101164,0.47,1
101165,0.51,1
101166,0.22,0
101167,0.7,1
101168,0.64,1
101169,0.84,1
101170,0.68,1
101171,0.39,1
101172,0.5,1
101173,0.38,1
101174,1.0,1
101175,0.89,1
101176,0.55,1
101177,0.8,1
101178,0.86,1
101179,0.73,1
101180,0.21,0
101181,0.85,1
101182,0.58,1
101183,0.81,1
101184,0.56,1
101185,0.97,1
101186,0.99,1
101187,0.87,1
101188,0.85,1
101189,0.72,1
101190,0.45,1
101191,0.98,1
101192,0.51,1
101193,0.69,1
101194,0.37,1
101195,0.74,1
101196,0.97,1
101197,0.84,1
101198,0.69,1
101199,0.43,1
101200,0.6,1
101201,0.49,1
101202,0.74,1
101203,0.39,1
101204,0.58,1
101205,0.75,1
101206,0.87,1
101207,0.97,1
101208,0.72,1
101209,0.43,1
101210,0.55,1
101211,0.98,1
101212,0.56,1
101213,0.93,1
101214,0.8,1
101215,0.97,1
101216,0.62,1
101217,0.26,1
101218,0.56,1
101219,0.91,1
101220,0.18,0
101221,0.44,1
101222,0.46,1
101223,0.62,1
101224,0.91,1
101225,0.83,1
101226,0.59,1
101227,0.76,1
101228,0.51,1
101229,0.99,1
101230,0.52,1
101231,0.36,1
101232,0.11,0
101233,0.47,1
101234,0.76,1
101235,0.63,1
101236,0.67,1
101237,0.87,1
101238,0.98,1
101239,0.91,1
101240,0.76,1
101241,0.86,1
101242,0.64,1
101243,0.64,1
101244,0.17,0
101245,0.58,1
101246,0.81,1
101247,0.87,1
101248,0.49,1
101249,0.53,1
101250,0.52,1
101251,0.17,0
101252,0.97,1
101253,0.68,1
101254,0.69,1
101255,0.37,1
101256,0.47,1
101257,0.99,1
101258,0.81,1
101259,0.45,1
101260,0.31,1
101261,0.33,1
101262,0.88,1
101263,0.34,1
101264,0.98,1
101265,0.43,1
101266,0.96,1
101267,0.27,1
101268,0.86,1
101269,0.09,0
101270,0.66,1
101271,0.9,1
101272,0.44,1
101273,0.53,1
101274,0.84,1
101275,0.57,1
101276,0.73,1
101277,0.89,1
101278,0.98,1
101279,0.77,1
101280,0.77,1
101281,0.71,1
101282,0.86,1
101283,0.32,1
101284,0.98,1
101285,0.38,1
101286,0.88,1
101287,0.9,1
101288,0.46,1
101289,0.18,0
101290,0.6,1
101291,0.53,1
101292,0.82,1
101293,0.7,1
101294,0.44,1
101295,0.53,1
101296,0.7,1
101297,0.74,1
101298,0.81,1
101299,0.54,1
101300,0.31,1
101301,0.78,1
101302,0.43,1
101303,0.41,1
101304,0.81,1
101305,0.38,1
101306,0.65,1
101307,0.37,1
101308,0.94,1
101309,0.49,1
101310,0.92,1
101311,0.75,1
101312,0.45,1
101313,0.61,1
101314,0.74,1
101315,0.76,1
101316,0.94,1
101317,0.54,1
101318,0.61,1
101319,0.14,0
101320,0.8,1
101321,0.64,1
101322,0.88,1
101323,0.41,1
101324,0.6,1
101325,0.75,1
101326,0.53,1
101327,0.6,1
101328,0.77,1
101329,0.96,1
101330,0.94,1
101331,0.76,1
101332,0.89,1
101333,0.97,1
101334,0.93,1
101335,0.46,1
101336,0.38,1
101337,0.86,1
101338,0.93,1
101339,0.91,1
101340,0.99,1
101341,0.63,1
101342,0.57,1
101343,0.67,1
101344,0.96,1
101345,0.42,1
101346,0.66,1
101347,0.77,1
101348,0.73,1
101349,0.9,1
101350,0.98,1
101351,0.36,1
101352,0.9,1
101353,0.59,1
101354,0.63,1
101355,0.88,1
101356,0.76,1
101357,0.7,1
101358,0.99,1
101359,0.3,1
101360,0.52,1
101361,0.87,1
101362,0.99,1
101363,0.85,1
101364,0.17,0
101365,0.76,1
101366,0.83,1
101367,0.61,1
101368,0.34,1
101369,0.73,1
101370,0.58,1
101371,0.69,1
101372,0.2,0
101373,0.78,1
101374,0.72,1
101375,0.47,1
101376,0.82,1
101377,0.93,1
101378,0.38,1
101379,0.75,1
101380,0.9,1
101381,0.76,1
101382,0.95,1
101383,0.87,1
101384,0.95,1
101385,0.76,1
101386,0.71,1
101387,0.38,1
101388,0.38,1
101389,0.3,1
101390,0.48,1
101391,0.83,1
101392,0.75,1
101393,0.64,1
101394,0.63,1
101395,0.68,1
101396,0.37,1
101397,0.71,1
101398,0.87,1
101399,0.73,1
101400,0.36,1
101401,0.79,1
101402,0.72,1
101403,0.73,1
101404,0.49,1
101405,0.88,1
101406,0.11,0
101407,0.31,1
101408,0.77,1
101409,0.26,1
101410,0.72,1
101411,0.43,1
101412,0.6,1
101413,0.49,1
101414,0.77,1
101415,0.17,0
101416,0.94,1
101417,0.83,1
101418,0.67,1
101419,0.41,1
101420,0.89,1
101421,0.81,1
101422,0.33,1
101423,0.73,1
101424,0.57,1
101425,0.78,1
101426,0.45,1
101427,0.43,1
101428,0.43,1
101429,0.57,1
101430,0.72,1
101431,0.74,1
101432,0.23,0
101433,0.99,1
101434,0.38,1
101435,0.97,1
101436,0.76,1
101437,0.3,1
101438,0.2,0
101439,0.5,1
101440,0.25,0
101441,0.82,1
101442,0.93,1
101443,0.97,1
101444,0.81,1
101445,0.45,1
101446,0.84,1
101447,0.55,1
101448,0.51,1
101449,0.97,1
101450,0.77,1
101451,0.51,1
101452,0.55,1
101453,0.96,1
101454,0.44,1
101455,0.84,1
101456,0.45,1
101457,0.47,1
101458,0.38,1
101459,0.91,1
101460,0.57,1
101461,0.34,1
101462,0.58,1
101463,0.2,0
101464,0.98,1
101465,0.75,1
101466,0.93,1
101467,0.73,1
101468,0.85,1
101469,0.55,1
101470,0.82,1
101471,0.3,1
101472,0.22,0
101473,0.87,1
101474,0.78,1
101475,0.75,1
101476,0.63,1
101477,0.45,1
101478,0.14,0
101479,0.36,1
101480,0.93,1
101481,0.87,1
101482,0.2,0
101483,0.64,1
101484,0.21,0
101485,0.43,1
101486,0.81,1
101487,0.31,1
101488,0.5,1
101489,0.6,1
101490,0.87,1
101491,0.68,1
101492,0.39,1
101493,0.9,1
101494,0.74,1
101495,0.73,1
101496,0.14,0
101497,1.0,1
101498,0.5,1
101499,0.79,1
101500,0.74,1
101501,0.84,1
101502,0.23,0
101503,0.83,1
101504,0.69,1
101505,0.63,1
101506,0.69,1
101507,0.54,1
101508,0.72,1
101509,0.88,1
101510,0.62,1
101511,0.45,1
101512,0.92,1
101513,0.92,1
101514,0.98,1
101515,0.76,1
101516,0.31,1
101517,0.34,1
101518,0.5,1
101519,0.78,1
101520,0.41,1
101521,0.45,1
101522,0.59,1
101523,0.53,1
101524,0.47,1
101525,0.71,1
101526,0.34,1
101527,0.53,1
101528,0.72,1
101529,0.88,1
101530,0.52,1
101531,0.82,1
101532,0.81,1
101533,0.83,1
101534,0.88,1
101535,0.87,1
101536,0.59,1
101537,0.79,1
101538,0.97,1
101539,0.67,1
101540,0.69,1
101541,0.55,1
101542,0.83,1
101543,0.85,1
101544,0.84,1
101545,0.92,1
101546,0.98,1
101547,0.35,1
101548,0.36,1
101549,0.62,1
101550,0.59,1
101551,0.91,1
101552,0.99,1
